2018-09-25 09:16:49,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:17:32,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:19:44,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:20:45,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:21:11,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,恢复
2018-09-25 09:21:22,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 09:21:44,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:22:38,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 09:22:38,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:23:16,kk,2#空气源热泵__机组环境温度传感器故障,恢复
2018-09-25 09:24:13,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 09:26:10,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,恢复
2018-09-25 09:26:15,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:44:35,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 09:44:35,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:46:24,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 09:46:24,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 09:46:34,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,恢复
2018-09-25 09:46:38,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 10:02:02,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 10:02:02,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 10:03:05,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 10:03:05,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 10:38:21,kk,2#空气源热泵__1＃模块温差报警,报警
2018-09-25 10:53:09,kk,2#空气源热泵__1＃模块温差报警,恢复
2018-09-25 10:54:05,kk,2#空气源热泵__机组环境温度传感器故障,报警
2018-09-25 10:54:05,kk,2#空气源热泵__1#模块系统1出水温度传感器故障,报警
2018-09-25 10:56:04,kk,2#空气源热泵__机组环境温度传感器故障,报警
